synset,pictogram_id,primary_keyword,image_url
07702956-n,2494,bread,https://api.arasaac.org/api/pictograms/2494
07703214-n,2494,bread,https://api.arasaac.org/api/pictograms/2494
07703126-n,2494,bread,https://api.arasaac.org/api/pictograms/2494
00506457-n,2501,ludo,https://api.arasaac.org/api/pictograms/2501
07726361-n,2503,potato,https://api.arasaac.org/api/pictograms/2503
12918253-n,2503,potato,https://api.arasaac.org/api/pictograms/2503
07726825-n,2505,crisps,https://api.arasaac.org/api/pictograms/2505
04232791-n,2506,skates,https://api.arasaac.org/api/pictograms/2506
04109712-n,2506,skates,https://api.arasaac.org/api/pictograms/2506
01599566-v,2512,comb,https://api.arasaac.org/api/pictograms/2512
04416650-n,2514,tennis ball,https://api.arasaac.org/api/pictograms/2514
01334887-v,2511,paste,https://api.arasaac.org/api/pictograms/2511
01796799-n,2509,turkey,https://api.arasaac.org/api/pictograms/2509
14727036-n,2510,glue,https://api.arasaac.org/api/pictograms/2510
04156439-n,2508,scooter,https://api.arasaac.org/api/pictograms/2508
07791351-n,2519,fish,https://api.arasaac.org/api/pictograms/2519
03267052-n,2515,ear-rings,https://api.arasaac.org/api/pictograms/2515
02514684-n,2520,fish,https://api.arasaac.org/api/pictograms/2520
03883150-n,2522,pyjama,https://api.arasaac.org/api/pictograms/2522
02849749-n,2526,blackboard,https://api.arasaac.org/api/pictograms/2526
03881909-n,2523,paintbrush,https://api.arasaac.org/api/pictograms/2523
07769251-n,2525,pineapple,https://api.arasaac.org/api/pictograms/2525
07889783-n,2527,pizza,https://api.arasaac.org/api/pictograms/2527
03589998-n,2528,iron,https://api.arasaac.org/api/pictograms/2528
14616585-n,2529,plasticine,https://api.arasaac.org/api/pictograms/2529
02086723-n,2517,dog,https://api.arasaac.org/api/pictograms/2517
04596493-n,2518,window blind,https://api.arasaac.org/api/pictograms/2518
02854358-n,2518,window blind,https://api.arasaac.org/api/pictograms/2518
03162014-n,2531,cymbals,https://api.arasaac.org/api/pictograms/2531
03965779-n,2532,plate,https://api.arasaac.org/api/pictograms/2532
03447680-n,2535,goal,https://api.arasaac.org/api/pictograms/2535
07769568-n,2530,banana,https://api.arasaac.org/api/pictograms/2530
04563490-n,2537,wristband,https://api.arasaac.org/api/pictograms/2537
04029643-n,2538,hole punch,https://api.arasaac.org/api/pictograms/2538
02892139-n,2538,hole punch,https://api.arasaac.org/api/pictograms/2538
02766719-n,2538,hole punch,https://api.arasaac.org/api/pictograms/2538
07663876-n,2534,chicken thigh,https://api.arasaac.org/api/pictograms/2534
07866305-n,2541,cheese,https://api.arasaac.org/api/pictograms/2541
07666634-n,2539,puree,https://api.arasaac.org/api/pictograms/2539
01794683-n,2533,chicken,https://api.arasaac.org/api/pictograms/2533
04058661-n,2542,ramp,https://api.arasaac.org/api/pictograms/2542
01642406-n,2543,frog,https://api.arasaac.org/api/pictograms/2543
